item_id,item_name,category,veg_flag,price,combo_group,substitute_group
2290,Kasturi Paneer Tikka,Curry,Veg,150.0,curry,curry
2291,Afghani Mushroom Tikka,Starter,Veg,150.0,starter,starter
2292,Hadappa Paneer Tikka,Curry,Veg,150.0,curry,curry
2293,Irani Paneer Tikka,Curry,Veg,150.0,curry,curry
2294,Nawabi Mint Paneer Tikka,Curry,Veg,150.0,curry,curry
2295,Bharwan Aloo,Sides,Veg,150.0,sides,sides
2296,Non-veg Platter,Sides,Non-Veg,150.0,sides,sides
2297,Hariyali Chicken,Sides,Non-Veg,150.0,sides,sides
2298,Chicken Bharra,Sides,Non-Veg,150.0,sides,sides
2299,Mutton Chapli Kebab,Starter,Non-Veg,150.0,starter,starter
2300,Mutton Boti Kebab,Starter,Non-Veg,150.0,starter,starter
2301,Mutton And Cheese Seekh Kebab,Starter,Non-Veg,150.0,starter,starter
2302,Mutton Bharra,Sides,Non-Veg,150.0,sides,sides
2303,Mutton Chaap,Sides,Non-Veg,150.0,sides,sides
2304,Dahi Mutton Seekh,Sides,Non-Veg,150.0,sides,sides
2305,Mutton Gulafi,Sides,Non-Veg,150.0,sides,sides
2306,Angara Tiger Prawns,Sides,Non-Veg,150.0,sides,sides
2307,Lucknowi Mutton Galouti,Sides,Non-Veg,150.0,sides,sides
2308,Tandoori Prawn Achari,Sides,Non-Veg,150.0,sides,sides
2309,Tandoori Basil Prawns,Sides,Non-Veg,150.0,sides,sides
2310,Fish Hot & Sour,Sides,Non-Veg,150.0,sides,sides
2311,Tandoori Prawn Hariyali,Sides,Non-Veg,150.0,sides,sides
2312,Achari Fish Tikka,Starter,Non-Veg,150.0,starter,starter
2313,Basil Fish Tikka,Starter,Non-Veg,150.0,starter,starter
2314,Amritsari Fish,Sides,Non-Veg,150.0,sides,sides
2315,Sea Food Platter,Sides,Non-Veg,150.0,sides,sides
2316,Bhatti Da Murgh,Sides,Non-Veg,150.0,sides,sides
2317,Chicken Pathani,Sides,Non-Veg,150.0,sides,sides
2318,Achari Murgh,Sides,Non-Veg,150.0,sides,sides
2319,Lemon Chicken Tikka,Starter,Non-Veg,150.0,starter,starter
2320,Adraki Tangdi,Sides,Non-Veg,150.0,sides,sides
2321,Chicken Tikka Tandoor,Starter,Non-Veg,150.0,starter,starter
2322,Cocktail Chicken Tikka (7pcs),Starter,Non-Veg,150.0,starter,starter
2323,Tiranga Akha Murgh,Sides,Non-Veg,150.0,sides,sides
2324,Malai Chicken Tikka,Starter,Non-Veg,150.0,starter,starter
2325,Chicken Banjara Kebab,Starter,Non-Veg,150.0,starter,starter
2326,Chicken Rojali Kebab,Starter,Non-Veg,150.0,starter,starter
2327,Bx Special Kebab,Starter,Non-Veg,150.0,starter,starter
